geneid	start	end	synonyms
ycfK	1207501	1208130	['ECK1140', 'stfP']
tfaP	1208132	1208545	['ECK1141', 'ymfS']
tfaE	1208517	1209119	['ECK1142', 'ycfA']
stfE	1209119	1209655	['ECK1143', 'ycfE']
pinE	1209685	1210239	['ECK1144', 'pin']
mcrA	1210346	1211179	['ECK1145', 'rglA']
icdC	1211413	1211577	['ECK1146']
iraM	1211680	1212003	['ECK1147', 'elb1', 'elbA', 'ycgW']
ymgK	1212260	1212304	['ECK4595']
ymgL	1212540	1212650	['ECK4596']
ycgX	1212703	1213107	['ECK1148']
bluR	1213328	1214059	['ECK1149', 'ycgE']
bluF	1214264	1215475	['ECK1150', 'ycgF']
ycgZ	1215789	1216025	['ECK1151']
ymgA	1216068	1216340	['ECK1152']
ariR	1216369	1216635	['ECK1153', 'ymgB']
ymgC	1216748	1216996	['ECK1154']
pdeG	1217328	1218851	['ECK1155', 'ycgG']
ymgF	1218983	1219201	['ECK1156']
ycgH	1219601	1222248	['b1169', 'b1170', 'ECK1157']
ymgD	1222305	1222634	['ECK1158']
ymgG	1222644	1222988	['ECK1159']
ymgI	1222990	1223163	['ECK4403']
ymgJ	1223264	1223449	['ECK4404']
ycgI	1223564	1223907	['b1173', 'ECK1160', 'ECK1161', 'ymgH']
minE	1224279	1224545	['ECK1162', 'minB']
minD	1224549	1225361	['ECK1163', 'minB']
minC	1225385	1226080	['ECK1164', 'minB']
ycgJ	1226600	1226968	['ECK1165']
pliG	1227071	1227472	['ECK1166', 'ycgK']
ymgN	1227368	1227427	['ECK4673']
ycgL	1227681	1228007	['ECK1167']
ycgM	1228079	1228738	['ECK1168']
ycgN	1228815	1229276	['ECK1169']
hlyE	1229483	1230394	['clyA', 'ECK1170', 'hpr', 'sheA', 'ycgD']
umuD	1230767	1231186	['ECK1171']
umuC	1231186	1232454	['ECK1172', 'uvm']
dsbB	1232500	1233030	['dsbX', 'ECK1173', 'iarB', 'rosB', 'roxB', 'ycgA']
nhaB	1233176	1234717	['ECK1174']
fadR	1234938	1235657	['dec', 'ECK1175', 'ole', 'oleR', 'thdB']
ycgB	1235709	1237241	['ECK1176']
dadA	1237571	1238869	['dadR', 'ECK1177']
dadX	1238879	1239949	['alnA', 'alnB', 'dadB', 'ECK1178']
ymgM	1240260	1240463	['ECK4597']
cvrA	1240335	1242071	['ECK1179', 'ycgO']
ldcA	1242166	1243080	['ECK1180', 'ycgQ']
emtA	1243180	1243791	['ECK1181', 'mltE', 'sltZ', 'ycgP']
ycgR	1243793	1244527	['ECK1182']
ymgE	1244728	1244982	['ECK1183', 'tag']
ycgY	1245160	1245600	['ECK1184']
treA	1245679	1247376	['ECK1185', 'osmA', 'tre']
dhaM	1247696	1249114	['dhaH', 'ECK1186', 'ptsD', 'ycgC']
dhaL	1249125	1249757	['dhaK2', 'ECK1187', 'ycgS', 'ysgS']
dhaK	1249768	1250838	['dhaK1', 'ECK1188', 'ycgT']
dhaR	1251066	1252985	['ECK1189', 'ycgU']
ycgV	1253085	1255952	['ECK1190']
ychF	1256721	1257812	['ECK1191', 'gtp1']
pth	1257929	1258513	['ECK1192', 'rap']
ychH	1258791	1259069	['ECK1193']
dauA	1259124	1260803	['ECK1194', 'ychM']
prs	1260928	1261875	['dnaR', 'ECK1195', 'prsA']
ispE	1262026	1262877	['ECK1196', 'ipk', 'ychB']
lolB	1262877	1263500	['ECK1197', 'hemM', 'ychC']
hemA	1263714	1264970	['ECK1198', 'gtrA']
prfA	1265012	1266094	['ECK1199', 'sueB', 'uar', 'ups?']
prmC	1266094	1266927	['ECK1200', 'hemK']
ychQ	1266924	1267316	['ECK1201', 'sirB2']
ychA	1267320	1268129	['ECK1202', 'sirB1']
kdsA	1268165	1269019	['ECK1203']
ldrA	1269168	1269275	['ECK1204']
rdlA	1269323	1269389	['ECK1205']
ldrB	1269703	1269810	['ECK1206']
rdlB	1269858	1269923	['ECK1207']
ldrC	1270238	1270345	['ECK1208']
rdlC	1270393	1270460	['ECK1209']
chaA	1270749	1271849	['ECK1210']
chaB	1272119	1272349	['ECK1211']
chaC	1272507	1273202	['ECK1212']
ychN	1273246	1273599	['ECK1213']
ychO	1273784	1275178	['ECK1214', 'ychP']
narL	1275179	1275829	['ECK1215', 'frdR', 'narR']
narX	1275822	1277618	['ECK1216', 'frd1', 'frdR', 'narR']
narK	1277957	1279348	['ECK1217']
narS	1279337	1279520	['ECK4670']
narG	1279864	1283607	['chlC', 'ECK1218', 'narC']
narH	1283604	1285142	['chlC', 'ECK1219']
narJ	1285139	1285849	['ECK1220']
narI	1285849	1286526	['chlI', 'ECK1221']
ychS	1286709	1286984	['ECK1222']
rttR	1287066	1287236	['ECK1223', 'rtT']
tpr	1287087	1287176	['ECK1224']
tyrV	1287244	1287328	['ECK1225', 'tyrTbeta']
tyrT	1287538	1287622	['ECK1226', 'su(c)', 'Su-3', 'Su-4', 'suIII', 'supC', 'supFsupO', 'tyrTalpha']
purU	1287782	1288624	['ECK1227', 'tgs', 'ychI']
ychJ	1288674	1289132	['ECK1228']
rssA	1289245	1290150	['ECK1229', 'ychK']
rssB	1290242	1291255	['ECK1230', 'hnr', 'sprE', 'ychL']
galU	1291457	1292365	['ECK1231', 'ychD']
hns	1292509	1292922	['B1', 'bglY', 'cur', 'drc', 'drdX', 'drs', 'ECK1232', 'fimG', 'H1', 'hnsA', 'irk', 'msyA', 'osmZ', 'pilG', 'topS', 'topX', 'virR']
tdk	1293527	1294144	['ECK1233']
insZ	1294426	1295322	['b1239', 'b1240', 'ECK1234', 'ychG']
adhE	1295446	1298121	['adhC', 'ana', 'ECK1235']
ychT	1298514	1298567	['ECK4627']
ychE	1298598	1299245	['ECK1236']
insH21	1299567	1300547	['ECK4568']
oppA	1301182	1302813	['ECK1237']
oppB	1302899	1303819	['ECK1238']
oppC	1303834	1304742	['ECK1239']
oppD	1304754	1305767	['ECK1240']
oppF	1305764	1306768	['ECK1241']
yciU	1306821	1307150	['ECK1242']
clsA	1307185	1308645	['cls', 'ECK1243', 'nov', 'yciJ']
yciY	1308788	1308961	['ECK4405']
kch	1309016	1310269	['ECK1244']
yciI	1310569	1310865	['ECK1245']
tonB	1311089	1311808	['ECK1246', 'exbA', 'T1rec']
yciA	1311848	1312246	['ECK1247']
yciB	1312351	1312890	['ECK1248']
yciC	1312920	1313663	['ECK1249']
ompW	1314020	1314658	['ECK1250', 'yciD']
yciE	1314718	1315224	['ECK1251']
yciF	1315270	1315770	['ECK1252']
yciG	1315856	1316035	['ECK1253']
trpA	1316416	1317222	['ECK1254', 'try', 'tryp']
trpB	1317222	1318415	['ECK1255']
trpC	1318427	1319788	['ECK1256', 'trpCF', 'trpF']
trpD	1319789	1321384	['ECK1257', 'trpGD']
trpE	1321384	1322946	['anth', 'ECK1258', 'tryD', 'tryp-4']
trpL	1323038	1323082	['ECK1259', 'trpEE']
rnm	1323220	1324101	['ECK1260', 'trpH', 'yciV']
yciO	1324098	1324718	['ECK1261']
yciQ	1324746	1326641	['ECK1262', 'yciP']
rluB	1326852	1327727	['ECK1263', 'yciL']
btuR	1327767	1328357	['cobA', 'ECK1264']
yciK	1328354	1329112	['ECK1265']
sohB	1329332	1330381	['ECK1266']
yciN	1330417	1330668	['ECK1267']
topA	1331048	1333645	['ECK1268', 'supX']
cysB	1333855	1334829	['ECK1269']
ymiA	1335148	1335288	['ECK4433', 'yciX_1']
yciX	1335291	1335458	['ECK1270', 'yciX_2']
ymiC	1335572	1335667	['ECK4598']
acnA	1335831	1338506	['acn', 'ECK1271']
ribA	1338570	1339160	['ECK1272']
pgpB	1339330	1340094	['ECK1273']
lapA	1340243	1340551	['ECK1274', 'yciS']
lapB	1340558	1341727	['ECK1275', 'yciM']
pyrF	1341921	1342658	['ECK1276']
yciH	1342658	1342984	['ECK1277']
osmB	1343110	1343328	['ECK1278']
yciT	1343597	1344346	['deoT', 'ECK1279']
yciZ	1344436	1344609	['deoL', 'ECK4406']
ymiD	1344647	1344775	['ECK4629']
pdeR	1344757	1346742	['ECK1280', 'gmr', 'yciR']
ymiB	1346796	1346900	['ECK4487']
rnb	1346978	1348912	['ECK1281']
yciW	1348980	1350107	['ECK1282']
fabI	1350251	1351039	['ECK1283', 'envM', 'gts', 'qmeA']
ycjD	1351407	1351760	['ECK1284']
sapF	1351828	1352634	['ECK1285']
sapD	1352636	1353628	['ECK1286', 'trkE']
sapC	1353628	1354518	['ECK1287']
sapB	1354505	1355470	['ECK1288']
sapA	1355467	1357110	['ECK1289']
ymjA	1357423	1357668	['ECK1290']
puuP	1357802	1359187	['ECK1291', 'ycjJ']
ymjE	1359177	1359341	['ECK4599']
puuA	1359490	1360908	['ECK1292', 'ycjK']
puuD	1361120	1361884	['ECK1293', 'ycjL']
puuR	1361911	1362468	['ECK1294', 'ycjC']
puuC	1362743	1364230	['aldH', 'ECK1295']
puuB	1364232	1365512	['ECK1296', 'ordL', 'ycjA']
puuE	1365550	1366815	['ECK1297', 'goaG']
pspF	1366935	1367912	['ECK1298', 'ycjB']
pspA	1368079	1368747	['cog', 'ECK1299']
pspB	1368801	1369025	['ECK1300']
pspC	1369025	1369384	['ECK1301']
pspD	1369393	1369614	['ECK1302']
pspE	1369689	1370003	['ECK1303']
ycjM	1370216	1371895	['ECK1304', 'ggaP']
ycjN	1371909	1373201	['ECK1305']
ycjO	1373222	1374103	['ECK1306']
ycjP	1374090	1374932	['ECK1307']
ycjQ	1374963	1376015	['ECK1308']
ycjR	1376034	1376822	['dte', 'ECK1309']
ycjS	1376832	1377887	['ECK1310']
ycjT	1377884	1380151	['ECK1311']
ycjU	1380148	1380807	['ECK1312', 'pgmB']
ycjV	1380821	1381789	['ECK1313']
ymjB	1381789	1381902	['ECK1314']
ompG	1381947	1382852	['ECK1315']
ycjW	1382963	1383961	['ECK1316']
ycjX	1384117	1385514	['ECK1317']
ycjF	1385511	1386572	['ECK1318']
tyrR	1386720	1388261	['ECK1319']
tpx	1388305	1388811	['ECK1320', 'yzzJ']
ycjG	1388930	1389895	['ECK1321', 'ycjH']
mpaA	1389870	1390598	['ECK1322', 'ycjI']
ymjC	1390680	1390862	['ECK1323']
ymjD	1390868	1390933	['ECK4488']
ycjY	1390933	1391853	['ECK1324']
pgrR	1391991	1392890	['ECK1325', 'ycjZ']
mppA	1393227	1394840	['ECK1326', 'ynaH']
ynaI	1394891	1395922	['ECK1327']
insH4	1396112	1397092	['ECK0261', 'trs5-4', 'yi52_4']
ynaJ	1397365	1397622	['ECK1328']
uspE	1397672	1398622	['ECK1329', 'ydaA']
fnr	1398774	1399526	['ECK1330', 'nirA', 'nirR', 'ossA', 'oxrA']
ogt	1399721	1400236	['ECK1331']
abgT	1400247	1401773	['ECK1332', 'ydaH']
abgB	1401810	1403255	['ECK1333', 'ydaI']
abgA	1403255	1404565	['ECK1334', 'ydaJ']
abgR	1404741	1405649	['ECK1335']
mcaS	1405658	1405751	['ECK1336', 'IS061', 'isrA']
smrA	1405979	1406542	['ECK1337', 'ydaL']
dgcM	1406563	1407795	['ECK1338', 'ydaM']
ynaN	1407989	1408036	['ECK4630']
zntB	1408050	1409033	['ECK1339', 'ydaN']
fnrS	1409129	1409250	['ECK4511', 'rydA']
ynaL	1409308	1409481	['C0343', 'ECK4600']
dbpA	1409511	1410884	['ECK1340', 'rhlC']
ttcA	1411013	1411948	['ECK1341', 'ydaO']
intR	1412000	1413235	['ECK1342', 'ydaP']
xisR	1413237	1413452	['ECK1343', 'ydaQ']
rcbA	1413531	1413740	['ECK1344', 'ydaC']
ralA	1413556	1413734	['ECK4571']
ralR	1413733	1413927	['ECK1345', 'lar', 'ydaB']
recT	1413984	1414793	['ECK1346']
recE	1414786	1417386	['ECK1347', 'rac', 'rmuB', 'sbcA']
racC	1417488	1417763	['ECK1348', 'sbcA']
ydaE	1417838	1418008	['ECK1349']
kilR	1418008	1418229	['ECK1350', 'kil', 'ydaD']
kilS	1418405	1418502	['ECK4690']
sieB	1418671	1419159	['ECK1351']
ydaF	1419156	1419311	['ECK1352']
ydaG	1419322	1419456	['ECK1353', 'gatA']
racR	1419765	1420241	['ECK1354', 'rarC', 'ydaR']
ydaS	1420365	1420661	['ECK1355']
ydaT	1420684	1421106	['ECK1356']
ydaU	1421119	1421976	['ECK1357']
ydaV	1421983	1422729	['ECK1358']
ydaW	1422752	1423312	['ECK1359']
rzpR	1423345	1423644	['ECK1360', 'ydaX']
rzoR	1423400	1423585	['ECK1361']
trkG	1423782	1425239	['ECK1362']
ynaK	1425377	1425640	['ECK1363']
ydaY	1425621	1425980	['ECK1364']
ynaA	1426454	1427482	['ECK1365', 'tmpR']
lomR	1427389	1428984	['b1369', 'b1371', 'ECK1366']
insH5	1427746	1428726	['ECK0261', 'trs5-5', 'yi52_5']
lomR	1428796	1428984	['b1369', 'b1371', 'ECK1366']
stfR	1429049	1432411	['ECK1367', 'ynaB']
tfaR	1432411	1432986	['ECK1368', 'ynaC']
pinR	1433084	1433674	['ECK1369', 'ynaD']
ynaE	1433991	1434224	['ECK1370']
ynaM	1434293	1434406	['ECK4601']
ttcC	1434958	1435008	['ECK4447']
uspF	1435185	1435619	['ECK1371', 'UP03', 'ynaF', 'yzzL']
ompN	1435760	1436893	['ECK1372', 'ynaG']
micC	1437121	1437231	['ECK1373', 'IS063', 'tke8']
ydbK	1437260	1440784	['ECK1374', 'pfo']
ydbJ	1441058	1441324	['ECK1375']
hslJ	1441321	1441743	['ECK1376', 'ydbI']
ldhA	1441854	1442843	['ECK1377', 'hslF', 'hslI', 'htpH']
ydbH	1443051	1445690	['ECK1378']
ynbE	1445687	1445872	['ECK1379']
ydbL	1445880	1446206	['ECK1380']
feaR	1446378	1447283	['ECK1381', 'maoB', 'maoX', 'ydbM']
feaB	1447519	1449018	['ECK1382', 'padA', 'ydbG']
tynA	1449076	1451349	['ECK1383', 'feaA', 'maoA']
paaZ	1451597	1453642	['ECK1384', 'maoC', 'ydbN']
paaA	1453927	1454856	['ECK1385', 'ydbO']
paaB	1454868	1455155	['ECK1386', 'ynbF']
paaC	1455164	1455910	['ECK1387', 'ydbP']
paaD	1455925	1456422	['ECK1388', 'ydbQ']
paaE	1456430	1457500	['ECK1389', 'ydbR']
paaF	1457497	1458264	['ECK1390', 'ydbR', 'ydbS']
paaG	1458264	1459052	['ECK1391', 'ydbT']
paaH	1459054	1460481	['ECK1392', 'hbdH', 'ydbU']
paaI	1460471	1460893	['ECK1393', 'ydbV']
paaJ	1460893	1462098	['ECK1394', 'ydbW']
paaK	1462125	1463438	['ECK1395']
paaX	1463539	1464489	['ECK1396', 'ydbY']
paaY	1464471	1465061	['ECK1397', 'ydbZ']
ynbG	1465165	1465230	['ECK4489']
ydbA	1465392	1474013	['b1401', 'b1405', 'ECK1398']
insD2	1467921	1468826	['ECK0358', 'yi22-2']
insC2	1468784	1469149	['ECK0357', 'yi21-2']
ydbA	1469246	1469295	['b1401', 'b1405', 'ECK1398']
insI2	1469358	1470509	['ECK0258', 'tra8-2']
ydbA	1470519	1474013	['b1401', 'b1405', 'ECK1398']
pdxI	1474221	1475081	['ECK1399', 'ydbC']
ydbD	1475144	1477450	['ECK1400']
ynbA	1477621	1478226	['ECK1401']
ynbB	1478226	1479122	['ECK1402']
ynbC	1479138	1480895	['ECK1403']
ynbD	1480909	1482201	['ECK1404']
azoR	1482255	1482860	['acpD', 'ECK1405']
hrpA	1483061	1486963	['ECK1406']
ydcF	1487235	1488035	['ECK1407']
aldA	1488232	1489671	['ald', 'ECK1408']
gapC	1489713	1490713	['b1416', 'b1417', 'ECK1409']
cybB	1490902	1491432	['ECK1410']
rydC	1491442	1491506	['ECK4407']
ydcA	1491677	1491850	['ECK1411']
yncP	1491876	1491944	['ECK4631']
hokB	1491922	1492071	['ECK1412', 'ydcB']
mokB	1491962	1492129	['ECK1413']
sokB	1492119	1492175	['ECK1414']
trg	1492470	1494110	['ECK1415']
ydcI	1494148	1495071	['ECK1416']
ydcJ	1495288	1496631	['ECK1417']
opgD	1496856	1498511	['ECK1418', 'mdoD', 'ydcG', 'yzzZ']
ydcH	1498651	1498875	['ECK1419']
rimL	1498938	1499477	['ECK1420']
ydcK	1499469	1500449	['ECK1421']
tehA	1500573	1501565	['ECK1422']
tehB	1501562	1502155	['ECK1423']
ydcL	1502457	1503125	['ECK1424']
yncK	1503218	1503649	['b4530', 'b4531', 'ECK1425', 'insP']
insQ	1503657	1504865	['ECK1426', 'tnpB', 'ydcM']
ydcO	1504905	1506080	['ECK1427']
sutR	1506172	1506708	['ECK1428', 'ydcN']
rlhA	1506781	1508742	['ECK1429', 'ydcP']
yncJ	1508834	1509064	['ECK1430']
hicA	1509286	1509462	['ECK1431', 'yncN']
hicB	1509508	1509924	['ECK1432', 'ydcQ']
ydcR	1510003	1511409	['ECK1433']
ydcS	1511654	1512799	['ECK1434']
ydcT	1512817	1513830	['ECK1435']
ydcU	1513831	1514772	['ECK1436']
ydcV	1514762	1515556	['ECK1437']
patD	1515578	1517002	['ECK1438', 'prr', 'ydcW']
yncL	1517099	1517194	['ECK4408']
ortT	1517389	1517562	['ECK1439', 'ydcX']
ydcY	1517648	1517881	['ECK1440']
ydcZ	1517882	1518331	['ECK1441']
mnaT	1518328	1518846	['ECK1442', 'yncA']
curA	1519027	1520064	['ECK1443', 'yncB']
mcbR	1520262	1520927	['ECK1444', 'yncC']
yncD	1520963	1523065	['ECK1445']
yncE	1523307	1524368	['ECK1446']
ansP	1524481	1525980	['ECK1447', 'yncF']
yncG	1526247	1526864	['ECK1448']
yncH	1526940	1527152	['ECK1449']
rhsE	1527890	1529938	['ECK1450']
ydcD	1529922	1530404	['ECK1451']
yncO	1530319	1530504	['ECK4602']
yncI	1530586	1531639	['b1458', 'ECK1452', 'ECK1453', 'yncM']
ydcC	1531816	1532952	['ECK1454']
pptA	1533052	1533285	['ECK1455', 'ydcE']
yddH	1533282	1533851	['ECK1456']
nhoA	1534024	1534869	['ECK1457', 'yddI']
yddE	1534965	1535858	['ECK1458']
narV	1535937	1536617	['chlZ', 'ECK1459']
narW	1536614	1537309	['chlZ', 'ECK1460']
narY	1537309	1538853	['chlZ', 'ECK1461']
narZ	1538850	1542590	['chlZ', 'ECK1462']
narU	1542672	1544060	['ECK1463', 'yddF']
yddJ	1544384	1544719	['ECK1464']
yddK	1544758	1545714	['ECK1465']
yddL	1545738	1546028	['ECK1466']
yddG	1546288	1547169	['ECK1467']
fdnG	1547401	1550448	['ECK1468']
fdnH	1550461	1551345	['ECK1469']
fdnI	1551338	1551991	['ECK1470']
yddM	1552398	1552682	['ECK1471']
adhP	1552828	1553838	['ECK1472', 'yddN']
maeA	1553972	1555669	['ECK1473', 'sfcA']
sra	1555826	1555963	['ECK1474', 'rpsV']
bdm	1556065	1556280	['ECK1475', 'yddX']
osmC	1556625	1557056	['ECK1476']
ddpF	1557112	1558038	['ECK1477', 'yddO']
ddpD	1558031	1559017	['ECK1478', 'yddP']
ddpC	1559014	1559910	['ECK1479', 'yddQ']
ddpB	1559907	1560929	['ECK1480', 'yddR']
ddpA	1560931	1562481	['ECK1481', 'yddS']
ddpX	1562495	1563076	['ECK1482', 'vanX', 'yddT']
dosP	1563334	1565733	['dos', 'ECK1483', 'pdeO', 'yddU']
dosC	1565758	1567140	['dgcO', 'ECK1484', 'yddV']
yddY	1567178	1567219	['ECK4603']
digH	1567504	1568823	['ECK1485', 'yddW']
gadC	1568954	1570489	['acsA', 'ECK1486', 'xasA']
gadB	1570645	1572045	['ECK1487']
pqqL	1572407	1575202	['ECK1488', 'pqqE', 'pqqM', 'yddC']
yddB	1575247	1577619	['ECK1489']
yddA	1577657	1579342	['ECK1490']
yneP	1579545	1579667	['ECK4604']
ydeM	1579633	1580790	['ECK1491']
ydeN	1580842	1582524	['ECK1492']
ydeO	1582926	1583687	['ECK1493']
safA	1583762	1583959	['ECK4475', 'yneN']
ydeP	1584207	1586486	['ECK1494']
ydeQ	1586820	1587734	['ECK1495']
ydeR	1587793	1588296	['ECK1496']
ydeS	1588309	1588839	['ECK1497']
ydeT	1588853	1590001	['ECK1498', 'fmlC']
yneL	1590334	1590536	['ECK1499']
hipA	1590854	1592176	['ECK1500']
hipB	1592176	1592442	['ECK1501']
yneO	1592665	1598086	['b1509', 'b1510', 'ECK1502', 'ECK1503', 'orfT', 'ydeK', 'ydeU']
lsrK	1598617	1600209	['ECK1504', 'ydeV']
lsrR	1600288	1601241	['ECK1505', 'ydeW']
lsrA	1601490	1603025	['ECK1506', 'ego', 'ydeX']
lsrC	1603019	1604047	['ECK1507', 'ydeY']
lsrD	1604047	1605039	['ECK1508', 'ydeZ']
lsrB	1605051	1606073	['ECK1509', 'yneA']
lsrF	1606100	1606975	['ECK1510', 'yneB']
lsrG	1606999	1607289	['ECK1511', 'yneC']
tam	1607346	1608104	['ECK1512', 'lsrE', 'yneD']
yneE	1608108	1609022	['ECK1513']
uxaB	1609229	1610680	['ECK1514']
dgcF	1610907	1611854	['ECK1515', 'yneF']
yneG	1611966	1612325	['ECK1516']
glsB	1612325	1613251	['ECK1517', 'yneH']
sad	1613315	1614703	['ECK1518', 'yneI']
yneJ	1614804	1615685	['ECK1519']
yneK	1615763	1616878	['ECK1520']
ydeA	1617028	1618218	['ECK1521']
marC	1618243	1618908	['ECK1522', 'ydeB', 'ydeC']
marR	1619120	1619554	['cfxB', 'ECK1523', 'inaR', 'soxQ']
marA	1619574	1619957	['cfxB', 'ECK1524', 'inaR', 'nfxC', 'norB', 'soxQ']
marB	1619989	1620207	['ECK1525']
eamA	1620238	1621137	['ECK1526', 'ydeD']
ydeE	1621332	1622519	['ECK1527', 'ydeF']
mgtS	1622646	1622741	['ECK4409', 'yneM']
mgtT	1622741	1622845	['ECK4632']
mgrR	1622817	1622914	['ECK4510']
dgcZ	1622960	1623850	['ECK1528', 'ydeG', 'ydeH']
ydeI	1624105	1624497	['ECK1529']
ydeJ	1624773	1625291	['ECK1530']
dcp	1625335	1627380	['ECK1531']
ydfG	1627517	1628263	['ECK1532']
rspR	1628352	1629038	['ECK1533', 'ydfH']
ydfZ	1629215	1629418	['ECK1534']
ydfI	1629453	1630913	['ECK1535']
ydfJ	1631002	1632285	['ECK1536', 'ydfJ_2']
ynfT	1632890	1633003	['ECK4605']
ydfK	1633072	1633305	['ECK1537']
pinQ	1633622	1634212	['ECK1538', 'ydfL']
tfaQ	1634310	1634885	['ECK1539', 'ydfM']
stfQ	1634885	1635847	['ECK1540', 'ydfN']
nohA	1635798	1636367	['ECK1541', 'nohQ']
ynfO	1636756	1636989	['ECK1542']
ydfO	1637047	1637457	['ECK1543']
gnsB	1637609	1637782	['ECK1544', 'ydfY']
ynfN	1637954	1638109	['ECK1545']
ynfR	1638188	1638253	['ECK4606']
ynfQ	1638256	1638444	['ECK4581']
cspI	1638455	1638667	['cspJ', 'ECK1546']
rzpQ	1639030	1639527	['ECK1547', 'ydfP']
rzoQ	1639080	1639334	['ECK4503']
rrrQ	1639524	1640057	['ECK1548', 'ydfQ']
ydfR	1640054	1640365	['ECK1549']
essQ	1640370	1640585	['ECK1550', 'ydfS']
ynfU	1640805	1640975	['ECK4633']
cspB	1641339	1641554	['ECK1551']
cspF	1641855	1642067	['ECK1552']
ynfS	1642122	1642211	['ECK4607']
ydfT	1642489	1643241	['ECK1553', 'quuQ']
ydfU	1643255	1644304	['ECK1554']
rem	1644651	1644902	['ECK1555']
hokD	1645119	1645274	['ECK1556', 'relF']
relE	1645346	1645633	['ECK1557']
relB	1645633	1645872	['ECK1558', 'RC']
ydfV	1645897	1646202	['ECK1559']
flxA	1646405	1646737	['ECK1560']
ydfW	1647174	1647323	['ECK1561', 'intK']
ydfX	1647346	1647636	['ECK1562']
dicC	1647620	1647850	['ECK1563', 'ftsT']
dicA	1647934	1648341	['ECK1564', 'ftsT']
ydfA	1648508	1648663	['ECK1565']
ydfB	1648665	1648793	['ECK1566']
ydfC	1648823	1649041	['ECK1567']
dicF	1649382	1649434	['ECK1568']
dicB	1649609	1649797	['ECK1569', 'ftsT']
ydfD	1649794	1649985	['ECK1570']
ydfE	1650078	1650998	['ECK1571']
insD7	1650881	1651537	['ECK1572', 'insD']
intQ	1651512	1652708	['ECK1573']
ynfP	1652728	1652838	['ECK1574', 'ydfJ_1']
rspB	1652896	1653915	['ECK1575']
rspA	1653927	1655141	['ECK1576']
ynfA	1655347	1655673	['ECK1577']
ynfB	1655808	1656149	['ECK1578']
speG	1656184	1656744	['ECK1579']
ynfC	1656747	1657457	['ECK1580']
ynfD	1657565	1657870	['ECK1581']
ynfE	1658069	1660495	['ECK1582']
ynfF	1660556	1662979	['ECK1583']
ynfG	1662990	1663607	['ECK1584']
ynfH	1663609	1664463	['ECK1585']
dmsD	1664506	1665120	['ECK1586', 'ynfI']
clcB	1665315	1666571	['ECK1587', 'mriT', 'ynfJ']
bidA	1666524	1667219	['ECK1588', 'ynfK']
mlc	1667344	1668564	['dgsA', 'ECK1589']
ynfL	1668699	1669592	['ECK1590']
ynfM	1669699	1670952	['ECK1591', 'yzyC']
asr	1671376	1671684	['ECK1592']
ydgU	1671777	1671860	['ECK4410']
ydgD	1671960	1672781	['ECK1593']
mdtI	1672820	1673149	['ECK1594', 'ydgE']
mdtJ	1673136	1673501	['ECK1595', 'ydgF']
mdtU	1673608	1673709	['ECK4634', 'ydgV']
tqsA	1673913	1674947	['ECK1596', 'ydgG']
pntB	1674972	1676360	['ECK1597']
pntA	1676371	1677903	['ECK1598']
ydgH	1678427	1679371	['ECK1599']
ydgI	1679557	1680939	['arcD', 'ECK1600']
folM	1680976	1681698	['ECK1601', 'ydgB']
ydgC	1681695	1682030	['ECK1602']
rstA	1682159	1682878	['ECK1603', 'urpT']
rstB	1682882	1684183	['ECK1604', 'uspT']
tus	1684259	1685188	['ECK1605', 'tau']
fumC	1685185	1686588	['ECK1606']
fumA	1686731	1688377	['ECK1607']
manA	1688576	1689751	['ECK1608', 'pmi']
ydgA	1689852	1691360	['ECK1609']
uidC	1691586	1692851	['ECK1610', 'gusC']
uidB	1692890	1694263	['ECK1611', 'gusB', 'uidP']
uidA	1694260	1696071	['ECK1612', 'gurA', 'gusA']
uidR	1696462	1697052	['ECK1613', 'gusR']
hdhA	1697273	1698040	['ECK1614', 'hsd', 'hsdH']
malI	1698152	1699180	['ECK1615']
malX	1699355	1700947	['ECK1616']
malY	1700957	1702129	['ECK1617']
add	1702233	1703234	['ECK1618']
ydgJ	1703268	1704308	['ECK1619']
blr	1704551	1704676	['ECK1620']
cnu	1704949	1705164	['ECK1621', 'ydgT']
ydgK	1705250	1705690	['ECK1622', 'rsxP']
rsxA	1705767	1706348	['ECK1623', 'ydgL']
rsxB	1706348	1706926	['ECK1624', 'ydgM']
rsxC	1706919	1709141	['ECK1625', 'ydgN']
rsxD	1709142	1710200	['ECK1626', 'ydgO']
rsxG	1710204	1710824	['ECK1627', 'ydgP']
rsxE	1710828	1711523	['ECK1628', 'ydgQ']
nth	1711523	1712158	['ECK1629']
dtpA	1712769	1714271	['ECK1630', 'tppB', 'ydgR']
gstA	1714377	1714982	['ECK1631', 'gst']
pdxY	1715026	1715889	['ECK1632', 'ydgS']
tyrS	1715948	1717222	['ECK1633']
pdxH	1717351	1718007	['ECK1634']
mliC	1718066	1718395	['ECK1635', 'ydhA']
anmK	1718493	1719602	['ECK1636', 'ydhH']
slyB	1719876	1720343	['ECK1637']
slyA	1720390	1720824	['ECK1638']
ydhI	1721025	1721261	['ECK1639']
ydhJ	1721264	1722121	['ECK1640']
ydhK	1722121	1724133	['ECK1641']
sodC	1724134	1724655	['ECK1642']
ydhF	1724736	1725632	['ECK1643']
ydhL	1725681	1725920	['ECK1644']
nemR	1726023	1726622	['ECK1645', 'ydhM']
