geneid	start	synonyms
ybeQ	675570	['ECK0637']
ybeR	676711	['ECK0638']
djlB	677415	['ECK0639', 'ybeS']
ybeT	678852	['ECK0640']
ybeU	679508	['ECK0641']
djlC	680212	['ECK0642', 'hsc56', 'hscD', 'ybeV']
hscC	681723	['ECK0643', 'ybeW']
rihA	683477	['ECK0644', 'ybeK']
gltL	684530	['ECK0645']
gltK	685255	['ECK0646']
gltJ	685929	['ECK0647']
sroC	686681	['ECK4620', 'HB_314']
gltI	686839	['ECK0648', 'ybeJ', 'yzzK']
insH	687997	['ECK0261', 'trs5-3', 'yi52_3']
lnt	689343	['cutE', 'ECK0649']
ybeX	690906	['ECK0650']
ybeY	691874	['ECK0651']
ybeZ	692338	['ECK0652', 'phoL']
miaB	693531	['ECK0653', 'yleA']
ubiF	695101	['ECK0654', 'yleB']
glnX	696430	['ECK0655', 'glnV-beta', 'glnVbeta', 'supE']
glnV	696542	['ECK0656', 'glnValpha', 'Su2', 'suII', 'supE']
metU	696664	['ECK0657', 'metT-beta', 'metTbeta']
glnW	696756	['ECK0658', 'glnU-beta', 'glnUbeta']
glnU	696865	['ECK0659', 'glnUalpha', 'supB', 'trnA']
leuW	696963	['ECK0660', 'feeB']
metT	697057	['ECK0661', 'metTalpha']
asnB	697513	['ECK0662']
umpH	699574	['ECK0663', 'nagD']
nagC	700374	['ECK0664', 'nagR']
nagA	701603	['ECK0665']
nagB	702811	['ECK0666', 'glmD']
nagE	703944	['ECK0667', 'pstN', 'ptsN']
glnS	706093	['ECK0668']
chiZ	708236	['ECK4665']
chiP	708334	['ECK0669', 'ybfM']
chiQ	709790	['ECK0670', 'ybfN']
fur	710200	['ECK0671']
uof	710639	['ECK4461']
fldA	710935	['ECK0672']
ybfE	711605	['ECK0673']
ybfF	712038	['ECK0674']
seqA	712987	['ECK0675', 'hsm-1']
pgm	713558	['blu', 'ECK0676']
ybfP	715412	['ECK0677']
ybfG	715947	['b0690', 'ECK0678', 'ECK0679', 'ybfH']
ybfI	716721	['ECK4436']
potE	716946	['ECK0680']
speF	718262	['ECK0681']
speFL	720718	['ECK4660']
kdpE	721056	['ECK0682']
kdpD	721730	['ECK0683', 'kac']
kdpC	724407	['ECK0684', 'kac']
kdpB	724988	['ECK0685', 'kac']
kdpA	727059	['ECK0686', 'kac']
kdpF	728732	['ECK0687']
ybfA	729134	['ECK0688']
rhsC	729583	['ECK0689']
ybfB	733776	['ECK0690']
ybfO	734220	['ECK0691']
ybfC	735650	['ECK0692']
ybfQ	736445	['ECK0693']
ybfL	736900	['ECK0694']
ybfD	738092	['ECK0695']
ybgA	739001	['ECK0696', 'tkp']
phr	739507	['ECK0697', 'phrB']
dtpD	741075	['ECK0698', 'ybgH']
ybgI	742827	['ECK0699']
pxpB	743593	['ECK0700', 'ybgJ']
pxpC	744243	['ECK0701', 'ybgK']
pxpA	745165	['ECK0702', 'ybgL']
nei	745935	['ECK0703']
abrB	746723	['ECK0704', 'ybgN']
ybgO	747921	['ECK0705']
ybgP	748979	['ECK0706']
ybgQ	749722	['ECK0707']
ybgD	752229	['ECK0708']
gltA	753185	['ECK0709', 'gluT', 'icdB']
ybgV	754658	['ECK4625']
ybgU	754674	['ECK4592']
sdhC	755177	['cybA', 'cybL', 'dhsC', 'ECK0710']
sdhD	755560	['cybS', 'dhsD', 'ECK0711']
sdhA	755907	['dhsA', 'ECK0712']
sdhB	757689	['dhsB', 'ECK0713']
sucA	758706	['ECK0714', 'lys+met']
sucB	761522	['ECK0715']
sucC	763014	['ECK0716']
sucD	764180	['ECK0717']
sdhX	765050	['ECK4621', 'rybD']
mngR	765153	['ECK0718', 'farR', 'ybgB']
mngA	765984	['ECK0719', 'frx', 'hrsA']
mngB	767978	['ECK0720', 'ybgG']
cydA	771458	['cyd-1', 'ECK0721']
cydB	773042	['cyd-2', 'ECK0722']
cydX	774196	['ECK0723', 'ybgT']
ybgE	774309	['ECK0724']
ybgC	774752	['ECK0725']
tolQ	775153	['ECK0726', 'fii', 'tolP']
tolR	775849	['ECK0727']
tolA	776342	['cim', 'ECK0728', 'excC', 'lky', 'tol-2']
tolB	777740	['ECK0729', 'lky', 'lkyA', 'tol-3']
pal	779067	['ECK0730', 'excC']
cpoB	779598	['ECK0731', 'ybgF']
lysT	780554	['ECK0732', 'lysTalpha', 'sua', 'supG', 'supL', 'Su[beta]']
valT	780765	['ECK0733', 'valTa', 'valTalpha']
lysW	780843	['ECK0734', 'lysT-beta', 'lysTbeta', 'su']
valZ	781068	['ECK0735', 'valTb', 'valTbeta']
lysY	781147	['ECK0736', 'lysTg', 'lysTgamma']
lysZ	781369	['ECK0737']
lysQ	781577	['ECK0738']
nadA	782085	['ECK0739', 'nicA']
pnuC	783166	['ECK0740']
zitB	783882	['ECK0741', 'ybgR']
ybgS	784937	['ECK0742']
aroG	785633	['ECK0743']
gpmA	786843	['ECK0744', 'gpm']
galM	787797	['ECK0745']
galK	788831	['ECK0746', 'galA']
galT	789983	['ECK0747', 'galB']
galE	791039	['ECK0748', 'galD']
modF	792316	['chlD', 'ECK0749', 'phrA']
modE	793856	['chlD', 'ECK0750', 'modR']
acrZ	794773	['ECK0751', 'ybhT']
modA	795089	['ECK0752']
modB	795862	['chlJ', 'ECK0753', 'tslJ']
modC	796554	['chlD', 'ECK0754', 'narD']
ybhA	797613	['ECK0755']
pgl	798586	['ECK0756', 'ybhE']
ybhD	799622	['ECK0757']
ybhH	800759	['ECK0758']
ybhI	801887	['ECK0759']
ybhJ	803503	['ECK0760']
ybhC	805998	['ECK0761']
ybhB	807433	['ECK0762']
bioA	807968	['ECK0763']
bioB	809344	['ECK0764']
bioF	810381	['ECK0765']
bioC	811522	['ECK0766']
bioD	812270	['ECK0767']
uvrB	813526	['dar-1', 'dar-6', 'ECK0768']
ybhK	815739	['ECK0769']
moaA	817044	['bisA', 'chlA', 'chlA1', 'ECK0770', 'narA']
moaB	818055	['chlA2', 'ECK0771']
moaC	818570	['chlA3', 'ECK0772']
moaD	819048	['chlA4', 'chlM', 'ECK0773']
moaE	819295	['chlA5', 'ECK0774']
ybhL	819884	['ECK0775']
ybhM	820793	['ECK0776']
ybhN	821542	['ECK0777']
clsB	822498	['ECK0778', 'ybhO']
ybhP	823736	['ECK0779']
ybhQ	824630	['ECK0780']
ybhR	825002	['ECK0781']
ybhS	826119	['ECK0782']
ybhF	827245	['ECK0783']
ybhG	828974	['ECK0784']
cecR	829972	['ECK0785', 'ybiH']
rhlE	830872	['ECK0786']
ybiA	832468	['ECK0787']
dinG	833070	['ECK0788', 'rarB']
ybiB	835248	['ECK0789']
hcxB	836351	['ECK0790', 'ybiC']
zbiJ	837435	['ECK4671']
ybiE	837503	['ECK4626']
ybiJ	837665	['ECK0791']
ybiI	838190	['ECK0792']
ybiX	838530	['ECK0793']
fiu	839249	['ECK0794', 'ybiL']
mcbA	841796	['ECK0795', 'ybiM']
rlmF	842332	['ECK0796', 'ybiN']
ybiO	843255	['ECK0797']
glnQ	845741	['ECK0798']
glnP	846460	['ECK0799']
glnH	847258	['ECK0800']
dps	848408	['ECK0801', 'pexB', 'vtm']
rhtA	849210	['ECK0802', 'ybiF']
yliM	850332	['ECK4593']
ompX	850450	['ECK0803', 'ompP', 'ybiG']
opgE	851014	['ECK0804', 'ybiP']
rybA	852725	['ECK0806']
mntS	852869	['ECK4517', 'G0-8881']
mntR	853183	['ECK0807', 'ybiQ']
ybiR	853647	['ECK0808']
ldtB	854824	['ECK0809', 'ybiS']
ybiT	855963	['ECK0810']
ybiU	857796	['ECK0811']
ybiV	859213	['ECK0812']
ybiW	860174	['ECK0813', 'pflF']
ybiY	862612	['ECK0814', 'pflE']
fsaA	863642	['ECK0815', 'fsa', 'mipB', 'ybiZ']
moeB	864380	['chlN', 'ECK0816']
moeA	865129	['bisB', 'chlE', 'ECK0817', 'narE']
iaaA	866568	['ECK0818', 'spt', 'ybiK']
gsiA	867520	['ECK0819', 'yliA']
gsiB	869411	['ECK0820', 'yliB']
gsiC	870967	['ECK0821', 'yliC']
gsiD	871890	['ECK0822', 'yliD']
pdeI	872979	['ECK0823', 'yliE']
dgcI	875335	['ECK0824', 'yliF']
rimO	876710	['ECK0825', 'yliG']
bssR	878248	['ECK0826', 'yliH']
yliI	878742	['ECK0827']
gstB	879854	['ECK0828', 'yliJ']
dacC	880727	['ECK0829']
deoR	881976	['ECK0830', 'nucR']
ybjG	882792	['ECK0831']
mdfA	883673	['cmlA', 'cmr', 'ECK0832']
ybjH	884946	['ECK0833']
ybjI	885316	['ECK0834']
ybjJ	886131	['ECK0835']
rcdA	887423	['ECK0836', 'ybjK']
rybB	887979	['ECK0837', 'p25']
ybjL	888134	['ECK0838']
ybjM	890089	['ECK0839']
grxA	890496	['ECK0840', 'grx']
ybjC	890913	['ECK0841']
nfsA	891184	['ECK0842', 'mda18', 'mdaA', 'ybjB']
rimK	891967	['ECK0843', 'nek']
ybjN	892957	['ECK0844']
potF	893784	['ECK0845']
potG	894991	['ECK0846']
potH	896134	['ECK0847']
potI	897084	['ECK0848']
ybjO	897989	['ECK0849']
rlmC	898518	['ECK0850', 'rumB', 'ybjF']
artJ	899844	['ECK0851']
artM	900866	['ECK0852']
artQ	901534	['ECK0853']
artI	902257	['ECK0854']
artP	903006	['ECK0855']
ybjP	903952	['ECK0856']
ybjQ	904593	['ECK0857']
amiD	904913	['ECK0858', 'ybjR']
ybjS	905740	['ECK0859']
ybjT	906852	['ECK0860']
ltaE	908293	['ECK0861', 'ltaA', 'ybjU']
poxB	909331	['ECK0862']
hcr	911182	['ECK0863', 'ybjV']
hcp	912162	['ECK0864', 'priS', 'ybjW']
lysO	913958	['ECK0865', 'ybjE']
aqpZ	915352	['bniP', 'ECK0866']
ybjD	916473	['ECK0867']
ybjX	918128	['ECK0868']
macA	919235	['ECK0869', 'ybjY']
macB	920347	['ECK0870', 'ybjZ']
cspD	922366	['cspH', 'ECK0871', 'ybjA']
yljB	922740	['ECK4627']
clpS	922913	['ECK0872', 'yljA']
clpA	923264	['ECK0873', 'lopD']
serW	925884	['ECK0874']
infA	926225	['bypA1', 'ECK0875']
aat	926728	['ECK0876', 'ycaA']
cydC	927474	['ECK0877', 'mdrA', 'mdrH', 'surB', 'ycaB']
cydD	929196	['ECK0878', 'htrD']
trxB	931085	['ECK0879', 'trxR']
lrp	932595	['alsB', 'ECK0880', 'ihb', 'livR', 'lrs', 'lss', 'lstR', 'mbf', 'oppI', 'rblA']
ftsK	933224	['dinH', 'ECK0881']
lolA	937372	['ECK0882', 'lplA', 'yzzV']
rarA	937994	['ECK0883', 'mgsA', 'ycaJ']
serS	939428	['ECK0884']
dmsA	940959	['ECK0885']
dmsB	943414	['ECK0886']
dmsC	944033	['ECK0887']
ycaC	944931	['ECK0888']
ycaD	945871	['ECK0889']
ycaM	947229	['ECK0890']
ycaN	948660	['ECK0891']
ycaK	949668	['ECK0892']
pflA	950340	['act', 'ECK0893']
pflB	951272	['ECK0894', 'pfl']
focA	953609	['ECK0895', 'ycaE']
ycaO	954872	['ECK0896']
ycaP	956762	['ECK0897']
serC	957653	['ECK0898', 'pdxC', 'pdxF']
aroA	958812	['ECK0899']
ycaL	960264	['ECK0900']
cmk	961201	['ECK0901', 'mssA', 'ycaF', 'ycaG']
rpsA	961995	['ECK0902', 'ssyF']
ihfB	963828	['ECK0903', 'himD', 'hip']
ycaI	964320	['ECK0904']
msbA	966621	['ECK0905']
lpxK	968366	['ECK0906', 'ycaH']
ycaQ	969389	['alkZ', 'ECK0907']
ycaR	970673	['ECK0908']
kdsB	970852	['ECK0909']
ycbJ	971752	['ECK0910']
elyC	972622	['ECK0911', 'ycbC']
cmoM	973537	['ECK0912', 'smtA', 'ycbD']
mukF	974319	['ECK0913', 'kicB']
mukE	975622	['ECK0914', 'kicA', 'ycbA']
mukB	976326	['ECK0915']
ldtD	981047	['ECK0916', 'ycbB']
mepK	983075	['ECK0917', 'ycbK']
gloC	983650	['ECK0918', 'ycbL']
aspC	984519	['ECK0919']
ompF	985894	['cmlB', 'cry', 'ECK0920', 'nfxB', 'tolF']
asnS	987585	['ECK0921', 'lcs', 'tss']
pncB	989154	['ECK0922']
pepN	990622	['ECK0923']
ssuB	993277	['ECK0924', 'ycbE']
ssuC	994041	['ECK0925', 'ycbM']
ssuD	994843	['ECK0926', 'ssi6', 'ycbN']
ssuA	995985	['ECK0927', 'ycbO']
ssuE	996937	['ECK0928', 'ssi4', 'ycbP']
elfA	997868	['ECK0929', 'ycbQ']
elfD	998490	['ECK0930', 'ycbR']
elfC	999216	['ECK0931', 'ycbS']
elfG	1001807	['ECK0932', 'ycbT']
ycbU	1002889	['ECK0933']
ycbV	1003439	['ECK0934']
ycbF	1003947	['ECK0935']
pyrD	1004768	['ECK0936']
zapC	1005952	['ECK0937', 'ycbW']
ycbX	1006491	['ECK0938']
rlmL	1007844	['ECK0939', 'rlmK', 'rlmKL', 'ycbY']
uup	1009964	['ECK0940', 'ycbH', 'ycbI']
pqiA	1012001	['ECK0941', 'pqi5', 'pqi5A']
pqiB	1013259	['ECK0942', 'pqi5', 'pqi5B']
pqiC	1014896	['ECK0943', 'ymbA']
rmf	1015715	['ECK0944', 'res', 'rimF']
fabA	1015952	['ECK0945']
ycbZ	1016539	['ECK0946']
matP	1018485	['ECK0947', 'ycbG']
ompA	1019013	['con', 'ECK0948', 'tolG', 'tut']
sulA	1020410	['ECK0949', 'sfiA', 'suf']
sxy	1021138	['ECK0950', 'yccR']
yccS	1021730	['ECK0951']
yccF	1023902	['ECK0952']
helD	1024471	['ECK0953', 'srjB']
mgsA	1026557	['ECK0954', 'mgs', 'yccG']
yccT	1027111	['ECK0955']
yccU	1027946	['ECK0956']
hspQ	1028404	['ECK0957', 'yccV']
rlmI	1028779	['ECK0958', 'yccW']
yccX	1030064	['ECK0959']
tusE	1030339	['ECK0960', 'yccK']
yccA	1030759	['ECK0961']
serT	1031625	['divE', 'ECK0962']
hyaA	1032139	['ECK0963']
hyaB	1033254	['ECK0964']
hyaC	1035066	['cybH', 'ECK0965']
hyaD	1035770	['ECK0966']
hyaE	1036354	['ECK0967']
hyaF	1036749	['ECK0968']
appC	1037740	['cbdA', 'cyxA', 'ECK0969']
appB	1039296	['cbdB', 'cyxB', 'ECK0970']
appX	1040445	['cbdX', 'ECK4402', 'yccB']
appA	1040617	['ECK0971']
etk	1042030	['ECK0972', 'yccC']
etp	1044230	['ECK0973', 'yccY']
gfcE	1044664	['ECK0974', 'yccZ']
gfcD	1045849	['ECK0975', 'ymcA']
gfcC	1047945	['ECK0976', 'ymcB']
gfcB	1048688	['ECK0977', 'ymcC']
gfcA	1049439	['ECK0978', 'ymcD']
insA	1049833	['ECK0023']
insB	1050027	['ECK0022']
cspH	1050963	['cspK', 'ECK0979']
cspG	1051461	['ECK0980']
ymcF	1051684	['ECK4580']
ymcE	1051847	['ECK0981']
gnsA	1052067	['ECK0982', 'sfa', 'yccL']
yccM	1052289	['ECK0983']
torS	1053434	['ECK0984', 'yccI']
torT	1056261	['ECK0985', 'yccH']
torR	1057262	['ECK0986']
torC	1058084	['ECK0987']
torA	1059256	['ECK0988']
torD	1061799	['ECK0989']
cbpM	1062550	['ECK0990', 'yccD']
cbpA	1062855	['ECK0991']
yccE	1064036	['ECK0992']
agp	1065585	['ECK0993']
yccJ	1066864	['ECK0994']
wrbA	1067112	['ECK0995']
ymdF	1068081	['ECK0996']
rutG	1068511	['ECK0997', 'ycdG']
rutF	1069860	['ECK0998', 'ycdH']
rutE	1070365	['ECK0999', 'ycdI']
rutD	1070965	['ECK1000', 'ycdJ']
rutC	1071773	['ECK1001', 'ycdK']
rutB	1072171	['ECK1002', 'ycdL']
rutA	1072863	['ECK1003', 'ycdM']
rutR	1074242	['ECK1004', 'ycdC']
putA	1074920	['ECK1005', 'poaA', 'putC']
ymdG	1079120	['ECK4594']
putP	1079305	['ECK1006', 'putC']
efeU	1081356	['b1016', 'b1017', 'ECK1007', 'ycdN']
efeO	1082243	['ECK1008', 'ycdO']
efeB	1083376	['ECK1009', 'ycdB']
phoH	1084992	['ECK1010', 'psiH']
pgaD	1086106	['ECK1011', 'hmsS', 'ycdP']
pgaC	1086521	['ECK1012', 'hmsR', 'ycdQ']
pgaB	1087839	['ECK1013', 'hmsF', 'ycdR']
pgaA	1089866	['ECK1014', 'hmsH', 'ycdS']
dgcT	1092876	['ECK1015', 'ycdT']
insF	1094275	['ECK0299', 'tra5-3']
insE	1095138	['ECK0298']
ymdE	1095544	['ECK1016']
ycdU	1095843	['ECK1017']
serX	1097565	['ECK1018']
ghrA	1097886	['ECK1019', 'ycdW']
ycdX	1098879	['ECK1020']
ycdY	1099640	['ECK1021']
ycdZ	1100296	['ECK1022', 'nupT']
csgG	1100851	['ECK1023']
csgF	1101711	['ECK1024']
csgE	1102152	['ECK1025']
csgD	1102546	['ECK1026']
csgB	1103951	['ECK1027']
csgA	1104447	['ECK1028']
csgC	1104961	['ECK1029', 'ycdE']
ymdA	1105414	['ECK1030']
ymdB	1105820	['ECK1031']
clsC	1106355	['ECK1032', 'ymdC']
opgC	1107784	['ECK1033', 'mdoC', 'ymdD']
opgG	1109335	['ECK1034', 'mdoA', 'mdoG']
opgH	1110863	['ECK1035', 'mdoA', 'mdoH']
yceK	1113579	['ECK1036']
msyB	1113807	['ECK1037']
mdtG	1114264	['ECK1038', 'yceE']
lpxL	1115662	['ECK1039', 'htrB', 'waaM']
trhO	1116807	['ECK1040', 'yceA']
yceI	1117901	['ECK1041']
yceJ	1118480	['ECK1042']
yceO	1119307	['ECK1043']
solA	1119468	['ECK1044']
bssS	1120701	['ECK1045', 'yceP']
dinI	1121242	['ECK1046']
pyrC	1121561	['ECK1047']
yceB	1122713	['ECK1048']
grxB	1123407	['ECK1049']
mdtH	1124118	['ECK1050', 'yceL']
rimJ	1125562	['ECK1051', 'tcp']
yceH	1126157	['ECK1052']
yceM	1126806	['ECK1053', 'mviM']
murJ	1127839	['ECK1054', 'mviN', 'yceN']
flgN	1129414	['ECK1055']
flgM	1129835	['ECK1056']
flgA	1130204	['ECK1057', 'flaU']
flgB	1131018	['ECK1058', 'flbA']
flgC	1131438	['ECK1059', 'flaW']
flgD	1131854	['ECK1060', 'flaV']
flgE	1132574	['ECK1061', 'flaK']
flgF	1133802	['ECK1062', 'flaX']
flgG	1134729	['ECK1063', 'flaL']
flgH	1135564	['ECK1064', 'flaY']
flgI	1136274	['ECK1065', 'flaM']
flgJ	1137371	['ECK1066', 'flaZ']
flgK	1138378	['ECK1067', 'flaS']
flgL	1140033	['ECK1068', 'flaT']
flgO	1140986	['ECK4683']
rne	1141182	['ams', 'ECK1069', 'hmp1', 'smbB']
yceQ	1144502	['ECK1070']
rluC	1144940	['ECK1071', 'yceC']
yceF	1146011	['ECK1072']
sraB	1146589	['ECK1073', 'pke20', 'psrA4', 'psrD']
yceD	1146794	['ECK1074']
rpmF	1147367	['ECK1075']
plsX	1147621	['ECK1076']
fabH	1148759	['ECK1077']
fabD	1149728	['ECK1078', 'tfpA']
fabG	1150670	['ECK1079']
acpP	1151615	['ECK1080']
fabF	1151939	['cvc', 'ECK1081', 'fabJ', 'vtr', 'vtrB']
pabC	1153300	['ECK1082']
mltG	1154112	['ECK1083', 'yceG']
tmk	1155124	['ECK1084', 'ycfG']
holB	1155762	['ECK1085']
ycfH	1156777	['ECK1086']
ptsG	1157869	['car', 'cat', 'catB2', 'CR', 'ECK1087', 'glcA', 'gptA', 'tgl', 'umg', 'umgC']
fhuE	1159362	['ECK1088']
hinT	1161885	['ECK1089', 'ycfF']
ycfL	1162247	['ECK1090']
lpoB	1162638	['ECK1091', 'ycfM']
thiK	1163260	['ECK1092', 'ycfN']
nagZ	1164095	['ECK1093', 'ycfO']
ycfP	1165143	['ECK1094']
ndh	1166085	['ECK1095']
ycfJ	1167599	['ECK1096']
comR	1168200	['ECK1097', 'ycfQ']
bhsA	1169073	['comC', 'ECK1098', 'ycfR']
bhsB	1169303	['ECK4689']
ldtC	1169412	['ECK1099', 'ycfS']
mfd	1170518	['ECK1100']
ycfT	1174092	['ECK1101']
lolC	1175427	['ECK1102', 'ycfU']
lolD	1176619	['ECK1103', 'ycfV']
lolE	1177320	['ECK1104', 'ycfW']
nagK	1178593	['ECK1105', 'ycfX']
cobB	1179520	['ECK1106', 'ycfY']
ycfZ	1180479	['ECK1107']
ymfA	1181264	['ECK1108']
potD	1181783	['ECK1109']
potC	1182826	['ECK1110']
potB	1183617	['ECK1111']
potA	1184458	['ECK1112']
pepT	1185844	['ECK1113']
roxA	1187119	['ECK1114', 'ycfD']
phoQ	1188316	['ECK1115']
phoP	1189776	['ECK1116']
purB	1190616	['ade', 'ade(h)', 'ECK1117']
hflD	1191990	['ECK1118', 'hslZ', 'ycfC']
mnmA	1192667	['asuE', 'ECK1119', 'trmU', 'ycfB']
nudJ	1193827	['ECK1120', 'ymfB']
rluE	1194298	['ECK1121', 'ymfC']
icd	1195123	['ECK1122', 'icdA', 'icdE']
C029	1196711	['ECK4663']
ymfD	1196867	['ECK1123']
ymfE	1197533	['ECK1124']
lit	1198695	['ECK1125']
intE	1199679	['ECK1126', 'int(Lambda)', 'ycfI']
xisE	1200787	['ECK1127', 'ymfG']
ymfH	1201069	['ECK1128']
ymfI	1201497	['ECK1129']
ymfJ	1201776	['ECK1130']
ymfK	1202259	['cohE', 'ECK1131']
ymfT	1203024	['croE', 'ECK1132']
ymfL	1203268	['ECK1133']
ymfM	1203822	['ECK1134', 'sfiC']
ymfN	1204170	['ECK1135']
oweE	1204170	['ECK4507']
aaaE	1204401	['ECK1135']
ymfR	1205549	['ECK1136']
beeE	1205731	['ECK1137', 'ymfO']
jayE	1206131	['ECK1138', 'ymfP']
ymfQ	1206913	['ECK1139']
ycfK	1207501	['ECK1140', 'stfP']
tfaP	1208132	['ECK1141', 'ymfS']
tfaE	1208517	['ECK1142', 'ycfA']
stfE	1209119	['ECK1143', 'ycfE']
pinE	1209685	['ECK1144', 'pin']
mcrA	1210346	['ECK1145', 'rglA']
icdC	1211413	['ECK1146']
iraM	1211680	['ECK1147', 'elb1', 'elbA', 'ycgW']
ymgK	1212260	['ECK4595']
ymgL	1212540	['ECK4596']
ycgX	1212703	['ECK1148']
bluR	1213328	['ECK1149', 'ycgE']
bluF	1214264	['ECK1150', 'ycgF']
ycgZ	1215789	['ECK1151']
ymgA	1216068	['ECK1152']
ariR	1216369	['ECK1153', 'ymgB']
ymgC	1216748	['ECK1154']
pdeG	1217328	['ECK1155', 'ycgG']
ymgF	1218983	['ECK1156']
ycgH	1219601	['b1169', 'b1170', 'ECK1157']
ymgD	1222305	['ECK1158']
ymgG	1222644	['ECK1159']
ymgI	1222990	['ECK4403']
ymgJ	1223264	['ECK4404']
ycgI	1223564	['b1173', 'ECK1160', 'ECK1161', 'ymgH']
minE	1224279	['ECK1162', 'minB']
minD	1224549	['ECK1163', 'minB']
minC	1225385	['ECK1164', 'minB']
ycgJ	1226600	['ECK1165']
pliG	1227071	['ECK1166', 'ycgK']
ymgN	1227368	['ECK4673']
ycgL	1227681	['ECK1167']
ycgM	1228079	['ECK1168']
ycgN	1228815	['ECK1169']
hlyE	1229483	['clyA', 'ECK1170', 'hpr', 'sheA', 'ycgD']
umuD	1230767	['ECK1171']
umuC	1231186	['ECK1172', 'uvm']
dsbB	1232500	['dsbX', 'ECK1173', 'iarB', 'rosB', 'roxB', 'ycgA']
nhaB	1233176	['ECK1174']
fadR	1234938	['dec', 'ECK1175', 'ole', 'oleR', 'thdB']
ycgB	1235709	['ECK1176']
dadA	1237571	['dadR', 'ECK1177']
dadX	1238879	['alnA', 'alnB', 'dadB', 'ECK1178']
ymgM	1240260	['ECK4597']
cvrA	1240335	['ECK1179', 'ycgO']
ldcA	1242166	['ECK1180', 'ycgQ']
emtA	1243180	['ECK1181', 'mltE', 'sltZ', 'ycgP']
ycgR	1243793	['ECK1182']
ymgE	1244728	['ECK1183', 'tag']
ycgY	1245160	['ECK1184']
treA	1245679	['ECK1185', 'osmA', 'tre']
dhaM	1247696	['dhaH', 'ECK1186', 'ptsD', 'ycgC']
dhaL	1249125	['dhaK2', 'ECK1187', 'ycgS', 'ysgS']
dhaK	1249768	['dhaK1', 'ECK1188', 'ycgT']
dhaR	1251066	['ECK1189', 'ycgU']
ycgV	1253085	['ECK1190']
ychF	1256721	['ECK1191', 'gtp1']
pth	1257929	['ECK1192', 'rap']
ychH	1258791	['ECK1193']
dauA	1259124	['ECK1194', 'ychM']
prs	1260928	['dnaR', 'ECK1195', 'prsA']
ispE	1262026	['ECK1196', 'ipk', 'ychB']
lolB	1262877	['ECK1197', 'hemM', 'ychC']
hemA	1263714	['ECK1198', 'gtrA']
prfA	1265012	['ECK1199', 'sueB', 'uar', 'ups?']
prmC	1266094	['ECK1200', 'hemK']
ychQ	1266924	['ECK1201', 'sirB2']
ychA	1267320	['ECK1202', 'sirB1']
kdsA	1268165	['ECK1203']
ldrA	1269168	['ECK1204']
rdlA	1269323	['ECK1205']
ldrB	1269703	['ECK1206']
rdlB	1269858	['ECK1207']
ldrC	1270238	['ECK1208']
rdlC	1270393	['ECK1209']
chaA	1270749	['ECK1210']
chaB	1272119	['ECK1211']
chaC	1272507	['ECK1212']
ychN	1273246	['ECK1213']
ychO	1273784	['ECK1214', 'ychP']
narL	1275179	['ECK1215', 'frdR', 'narR']
narX	1275822	['ECK1216', 'frd1', 'frdR', 'narR']
narK	1277957	['ECK1217']
narS	1279337	['ECK4670']
narG	1279864	['chlC', 'ECK1218', 'narC']
narH	1283604	['chlC', 'ECK1219']
narJ	1285139	['ECK1220']
narI	1285849	['chlI', 'ECK1221']
ychS	1286709	['ECK1222']
rttR	1287066	['ECK1223', 'rtT']
tpr	1287087	['ECK1224']
tyrV	1287244	['ECK1225', 'tyrTbeta']
tyrT	1287538	['ECK1226', 'su(c)', 'Su-3', 'Su-4', 'suIII', 'supC', 'supFsupO', 'tyrTalpha']
purU	1287782	['ECK1227', 'tgs', 'ychI']
ychJ	1288674	['ECK1228']
rssA	1289245	['ECK1229', 'ychK']
rssB	1290242	['ECK1230', 'hnr', 'sprE', 'ychL']
galU	1291457	['ECK1231', 'ychD']
hns	1292509	['B1', 'bglY', 'cur', 'drc', 'drdX', 'drs', 'ECK1232', 'fimG', 'H1', 'hnsA', 'irk', 'msyA', 'osmZ', 'pilG', 'topS', 'topX', 'virR']
tdk	1293527	['ECK1233']
insZ	1294426	['b1239', 'b1240', 'ECK1234', 'ychG']
adhE	1295446	['adhC', 'ana', 'ECK1235']
ychT	1298514	['ECK4627']
ychE	1298598	['ECK1236']
insH2	1299567	['ECK4568']
oppA	1301182	['ECK1237']
oppB	1302899	['ECK1238']
oppC	1303834	['ECK1239']
oppD	1304754	['ECK1240']
oppF	1305764	['ECK1241']
yciU	1306821	['ECK1242']
clsA	1307185	['cls', 'ECK1243', 'nov', 'yciJ']
yciY	1308788	['ECK4405']
kch	1309016	['ECK1244']
yciI	1310569	['ECK1245']
tonB	1311089	['ECK1246', 'exbA', 'T1rec']
yciA	1311848	['ECK1247']
yciB	1312351	['ECK1248']
yciC	1312920	['ECK1249']
ompW	1314020	['ECK1250', 'yciD']
yciE	1314718	['ECK1251']
yciF	1315270	['ECK1252']
yciG	1315856	['ECK1253']
trpA	1316416	['ECK1254', 'try', 'tryp']
trpB	1317222	['ECK1255']
trpC	1318427	['ECK1256', 'trpCF', 'trpF']
trpD	1319789	['ECK1257', 'trpGD']
trpE	1321384	['anth', 'ECK1258', 'tryD', 'tryp-4']
trpL	1323038	['ECK1259', 'trpEE']
rnm	1323220	['ECK1260', 'trpH', 'yciV']
yciO	1324098	['ECK1261']
yciQ	1324746	['ECK1262', 'yciP']
